Year,State, Deaths
2014,NC,1206
2014,ND,96
2014,OH,1211
2014,OK,611
2014,OR,497
2014,PA,1390
2014,RI,34
2014,SC,767
2014,SD,89
2014,TN,1016
2014,TX,2848
2014,UT,337
2014,VT,69
2014,VA,889
2014,WA,702
2014,WV,286
2014,WI,487
2014,WY,93
2005,AL,736
2005,AK,116
2005,AZ,934
2005,AR,439
2005,CA,3453
2005,CO,535
2005,CT,187
2005,DE,75
2005,FL,1838
2005,GA,1064
2005,HI,28
2005,ID,195
2005,IL,1019
2005,IN,705
2005,IA,201
2005,KS,257
2005,KY,548
2005,LA,858
2005,ME,109
2005,MD,657
2005,MA,224
2005,MI,1074
2005,MN,361
2005,MS,455
2005,MO,752
2005,MT,161
2005,NE,135
2005,NV,390
2005,NH,88
2005,NJ,434
2005,NM,267
2005,NY,1019
2005,NC,1119
2005,ND,61
2005,OH,1116
2005,OK,468
2005,OR,402
2005,PA,1352
2005,RI,39
2005,SC,589
2005,SD,82
2005,TN,976
2005,TX,2490
2005,UT,227
2005,VT,44
2005,VA,888
2005,WA,567
2005,WV,261
2005,WI,474
2005,WY,71
